screen_name,created_at,retweet_count,favorite_count,text
realDonaldTrump,Fri Sep 09 02:00:32 +0000 2016,2859,7030,Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B
realDonaldTrump,Fri Sep 09 00:39:36 +0000 2016,6463,17951,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.
realDonaldTrump,Thu Sep 08 23:56:22 +0000 2016,5405,13223,"More poll results from last nights Commander-in-Chief Forum. 
#AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h"
realDonaldTrump,Thu Sep 08 19:52:32 +0000 2016,11633,27028,Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3
realDonaldTrump,Thu Sep 08 18:17:01 +0000 2016,3824,12567,"With Luis, Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted."
realDonaldTrump,Thu Sep 08 18:16:25 +0000 2016,3710,12860,Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto.
realDonaldTrump,Thu Sep 08 16:25:36 +0000 2016,8599,24244,Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.
realDonaldTrump,Thu Sep 08 15:17:47 +0000 2016,9436,28467,Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!
